,channel_1,channel_2,theta,alpha,beta,gamma
88,P7-1,T8-0,0.058775741,0.028424471,0.051666988,0.094068301
89,P7-1,P8-0,0.040589437,0.077206684,0.079339396,0.197171455
90,C4-1,C3-0,0.087978014,0.086121993,0.041568558,0.07922912
91,C4-1,T7-0,0.07781691,0.024510987,0.09312403,0.065974424
92,C4-1,P7-0,0.084344381,0.054005121,0.163825077,0.079673818
93,C4-1,C4-0,0.071060508,0.059885169,0.100251639,0.113045364
94,C4-1,T8-0,0.067962391,0.095241902,0.088536146,0.207221555
95,C4-1,P8-0,0.076461226,0.042205862,0.107315447,0.06984811
96,T8-1,C3-0,0.096994846,0.122449529,0.075458486,0.012709236
97,T8-1,T7-0,0.145811704,0.113146917,0.076242603,0.108719526
98,T8-1,P7-0,0.083551432,0.07258744,0.086312413,0.098698707
99,T8-1,C4-0,0.097353249,0.031867698,0.064277572,0.023538451
100,T8-1,T8-0,0.076494536,0.067663497,0.083867616,0.251318612
101,T8-1,P8-0,0.194455086,0.058968938,0.115669675,0.140045934
102,P8-1,C3-0,0.055649662,0.169204897,0.068453177,0.041773773
103,P8-1,T7-0,0.05325265,0.185442222,0.117944033,0.024491677
104,P8-1,P7-0,0.048011186,0.04893817,0.061033963,0.16998962
105,P8-1,C4-0,0.058047623,0.028114865,0.128720805,0.072123789
106,P8-1,T8-0,0.042843211,0.015790927,0.068009843,0.115390647
107,P8-1,P8-0,0.067479747,0.033492945,0.10288555,0.049743043
108,C3-1,C3-0,0.088144872,0.162151322,0.09815942,0.185547651
109,C3-1,T7-0,0.049954769,0.0548815,0.050435767,0.115312187
110,C3-1,P7-0,0.076378144,0.037117221,0.03026483,0.049249883
111,C3-1,C4-0,0.04793325,0.124898732,0.054449271,0.214574322
112,C3-1,T8-0,0.038675535,0.045774252,0.206716533,0.05175546
113,C3-1,P8-0,0.051335213,0.050845114,0.179818866,0.079783412
114,T7-1,C3-0,0.101021739,0.174351362,0.134132513,0.076543476
115,T7-1,T7-0,0.150731868,0.039354978,0.090376525,0.306109193
116,T7-1,P7-0,0.187822221,0.024926292,0.071095042,0.063462935
117,T7-1,C4-0,0.081547631,0.166630197,0.099615861,0.082081257
118,T7-1,T8-0,0.083524898,0.044303,0.120949322,0.108449711
119,T7-1,P8-0,0.092284274,0.032195368,0.225443637,0.045461408
120,P7-1,C3-0,0.101298637,0.023521214,0.054304284,0.060061045
121,P7-1,T7-0,0.053876452,0.057072759,0.031550896,0.126383251
122,P7-1,P7-0,0.039211056,0.047870688,0.071490348,0.140358298
123,P7-1,C4-0,0.122394655,0.141824107,0.047861446,0.180747896
124,P7-1,T8-0,0.058248923,0.089615082,0.095259437,0.138475857
125,P7-1,P8-0,0.062525132,0.068069399,0.120097379,0.042970851
126,C4-1,C3-0,0.111592459,0.05002628,0.031170961,0.143853229
127,C4-1,T7-0,0.066077319,0.020455541,0.069260407,0.072698767
128,C4-1,P7-0,0.106525213,0.050790363,0.148150755,0.159268683
129,C4-1,C4-0,0.07420667,0.064980931,0.197491498,0.098996984
130,C4-1,T8-0,0.157879522,0.028533413,0.048931302,0.065846447
131,C4-1,P8-0,0.171610701,0.051276598,0.081378596,0.072311584
132,T8-1,C3-0,0.101031778,0.094455631,0.05798606,0.150111419
133,T8-1,T7-0,0.017967538,0.049772723,0.156193219,0.114488351
134,T8-1,P7-0,0.064010524,0.047681859,0.099020502,0.118679319
135,T8-1,C4-0,0.09508537,0.129605927,0.1300782,0.085421437
136,T8-1,T8-0,0.040152994,0.042540487,0.102896206,0.08267264
137,T8-1,P8-0,0.085298304,0.089558551,0.084583392,0.102521728
138,P8-1,C3-0,0.084852581,0.082395603,0.127663059,0.072716076
139,P8-1,T7-0,0.036213842,0.059489396,0.206287185,0.051938674
140,P8-1,P7-0,0.025993961,0.044829617,0.134932249,0.056294962
141,P8-1,C4-0,0.04808798,0.105053786,0.091943658,0.050837418
142,P8-1,T8-0,0.016629561,0.160080146,0.085017613,0.053103515
143,P8-1,P8-0,0.005818021,0.076934171,0.036321948,0.123910092
144,C3-1,C3-0,0.122008968,0.092322865,0.123020643,0.043605949
145,C3-1,T7-0,0.188927427,0.090148089,0.125215466,0.257199233
146,C3-1,P7-0,0.226697403,0.069045931,0.141299368,0.072156554
147,C3-1,C4-0,0.056782441,0.039868628,0.102280457,0.085180885
148,C3-1,T8-0,0.211510607,0.194318258,0.124097905,0.040272854
149,C3-1,P8-0,0.329269448,0.184274405,0.159627833,0.059957494
150,T7-1,C3-0,0.016914109,0.035679654,0.118537209,0.076201174
151,T7-1,T7-0,0.089883251,0.126429381,0.058931787,0.046733098
152,T7-1,P7-0,0.101306794,0.080583153,0.139130081,0.063370536
153,T7-1,C4-0,0.063386164,0.069249409,0.045144398,0.077498161
154,T7-1,T8-0,0.134402583,0.118752159,0.108478295,0.106283834
155,T7-1,P8-0,0.173090741,0.136462866,0.06094732,0.056623018
156,P7-1,C3-0,0.066150691,0.053610943,0.125759773,0.113119685
157,P7-1,T7-0,0.164688765,0.110687127,0.093727529,0.036155524
158,P7-1,P7-0,0.125805471,0.13095549,0.069023073,0.072314206
159,P7-1,C4-0,0.126695683,0.079487803,0.058203063,0.208158418
160,P7-1,T8-0,0.240551739,0.139086664,0.093352841,0.093510214
161,P7-1,P8-0,0.286714416,0.102262653,0.08911139,0.134078627
162,C4-1,C3-0,0.019816829,0.089808706,0.04007388,0.169419401
163,C4-1,T7-0,0.06404321,0.11074696,0.107820133,0.202184647
164,C4-1,P7-0,0.059645124,0.094008646,0.081365276,0.188721792
165,C4-1,C4-0,0.233233729,0.192368567,0.130348849,0.193568491
166,C4-1,T8-0,0.137374769,0.118612227,0.088690738,0.182330638
167,C4-1,P8-0,0.071378216,0.088209166,0.119757861,0.108630396
168,T8-1,C3-0,0.063933703,0.054980697,0.04044153,0.273946789
169,T8-1,T7-0,0.051914411,0.202674255,0.053661819,0.105919693
170,T8-1,P7-0,0.029821948,0.129959929,0.258220801,0.156495419
171,T8-1,C4-0,0.092051806,0.207303434,0.172702732,0.095460497
172,T8-1,T8-0,0.126050115,0.152558062,0.085192671,0.247123282
173,T8-1,P8-0,0.063775622,0.164262357,0.154396208,0.119929892
174,P8-1,C3-0,0.072629311,0.07981513,0.070650504,0.118834984
175,P8-1,T7-0,0.025526455,0.126630477,0.11001926,0.117837162
176,P8-1,P7-0,0.10615467,0.061281945,0.148824744,0.043530087
177,P8-1,C4-0,0.13337365,0.186191975,0.106554664,0.08187478
178,P8-1,T8-0,0.106635723,0.134958707,0.075898849,0.074957817
179,P8-1,P8-0,0.054350871,0.111301717,0.121563489,0.173909153
180,C3-1,C3-0,0.063845973,0.088110694,0.143559708,0.050229294
181,C3-1,T7-0,0.212762523,0.036774636,0.127803673,0.226403907
182,C3-1,P7-0,0.149812892,0.036357174,0.155051643,0.03423687
183,C3-1,C4-0,0.045739507,0.065284221,0.05053662,0.141601248
184,C3-1,T8-0,0.18852178,0.077624831,0.03629908,0.122997025
185,C3-1,P8-0,0.100559796,0.119746586,0.085954902,0.222524599
186,T7-1,C3-0,0.137730048,0.13761901,0.249862055,0.049944301
187,T7-1,T7-0,0.212131497,0.0804813,0.130792768,0.203068236
188,T7-1,P7-0,0.130820032,0.055220642,0.046802403,0.077968548
189,T7-1,C4-0,0.136296088,0.140668391,0.08998087,0.156317318
190,T7-1,T8-0,0.220748194,0.125577689,0.103197558,0.130628639
191,T7-1,P8-0,0.152809968,0.174001829,0.041370783,0.092620355
192,P7-1,C3-0,0.040025829,0.085318794,0.067446897,0.117030422
193,P7-1,T7-0,0.063983875,0.119166345,0.127733219,0.163600468
194,P7-1,P7-0,0.072591443,0.214220115,0.106907344,0.135184445
195,P7-1,C4-0,0.04735457,0.176644786,0.219877865,0.108765905
196,P7-1,T8-0,0.08007603,0.387237715,0.145800775,0.040043425
197,P7-1,P8-0,0.078737848,0.335979817,0.103950213,0.125835746
198,C4-1,C3-0,0.148377359,0.05909147,0.12561827,0.137023129
199,C4-1,T7-0,0.094049302,0.043396177,0.098703463,0.109658541
200,C4-1,P7-0,0.091294262,0.038081376,0.102561426,0.053664738
201,C4-1,C4-0,0.205362378,0.086399036,0.062764602,0.072625993
202,C4-1,T8-0,0.180654664,0.107867464,0.067731718,0.126516623
203,C4-1,P8-0,0.171104717,0.105234545,0.03576,0.065115626
204,T8-1,C3-0,0.230712442,0.190144336,0.033123179,0.049911881
205,T8-1,T7-0,0.066199467,0.10924493,0.023836309,0.096198442
206,T8-1,P7-0,0.060240882,0.073430278,0.035760548,0.100377717
207,T8-1,C4-0,0.117862915,0.295880029,0.086146992,0.077493174
208,T8-1,T8-0,0.148090675,0.166201903,0.067445667,0.233311988
209,T8-1,P8-0,0.102757194,0.184677786,0.147660577,0.212044844
210,P8-1,C3-0,0.099627703,0.104824356,0.099739736,0.079198259
211,P8-1,T7-0,0.036494788,0.197933847,0.058401742,0.061601915
212,P8-1,P7-0,0.074768617,0.114067072,0.117493964,0.04754846
213,P8-1,C4-0,0.098512242,0.198069235,0.242891275,0.086572238
214,P8-1,T8-0,0.140917921,0.256840012,0.082925641,0.090065571
215,P8-1,P8-0,0.095521079,0.248239275,0.269509642,0.119041972
216,C3-1,C3-0,0.040388042,0.049789716,0.124473537,0.069733201
217,C3-1,T7-0,0.183037682,0.045697785,0.072036932,0.052506281
218,C3-1,P7-0,0.097934742,0.129502122,0.211156423,0.066960392
219,C3-1,C4-0,0.051821731,0.155378348,0.167257401,0.102231767
220,C3-1,T8-0,0.11081409,0.136963795,0.083429941,0.167172873
221,C3-1,P8-0,0.094124154,0.115337369,0.070811429,0.078101186
222,T7-1,C3-0,0.050360866,0.188194311,0.108889557,0.060440299
223,T7-1,T7-0,0.050574392,0.159989878,0.043736443,0.133297772
224,T7-1,P7-0,0.043896571,0.059942012,0.057471261,0.053250239
225,T7-1,C4-0,0.059521151,0.083428614,0.120442476,0.073532266
226,T7-1,T8-0,0.070444677,0.071302335,0.047462522,0.037108549
227,T7-1,P8-0,0.103521442,0.125612033,0.05104125,0.222756119
228,P7-1,C3-0,0.07376294,0.097941552,0.154605479,0.096225156
229,P7-1,T7-0,0.038640966,0.037798831,0.031207925,0.090668309
230,P7-1,P7-0,0.02317032,0.092357148,0.051680681,0.052657642
231,P7-1,C4-0,0.042492864,0.128887493,0.036985302,0.069904987
232,P7-1,T8-0,0.036130958,0.128047055,0.102812545,0.029671917
233,P7-1,P8-0,0.037960955,0.096010288,0.081318121,0.111641411
234,C4-1,C3-0,0.039789703,0.148489961,0.133959189,0.046536766
235,C4-1,T7-0,0.063462603,0.174071046,0.038732,0.049790139
236,C4-1,P7-0,0.061953101,0.074471286,0.092482293,0.120767164
